2020,01,"2,320"
2020,02,"2,325"
2020,03,"2,340"
2020,04,"2,350"
2020,05,"2,360"
2020,06,"2,370"
2020,07,"2,385"
2020,08,"2,390"
2020,09,"2,395"
2020,10,"2,405"
2020,11,"2,410"
2020,12,"2,420"
2021,01,"2,430"
2021,02,"2,450"
2021,03,"2,470"
2021,04,"2,490"
2021,05,"2,510"
2021,06,"2,530"
2021,07,"2,550"
2021,08,"2,570"
2021,09,"2,590"
2021,10,"2,610"
2021,11,"2,630"
2021,12,"2,650"
2022,01,"2,670"
2022,02,"2,690"
2022,03,"2,710"
2022,04,"2,730"
2022,05,"2,750"
2022,06,"2,770"
2022,07,"2,790"
2022,08,"2,810"
2022,09,"2,830"
2022,10,"2,850"
2022,11,"2,870"
2022,12,"2,890"
2023,01,"2,910"
2023,02,"2,930"
2023,03,"2,950"
2023,04,"2,970"
2023,05,"2,990"
2023,06,"3,010"
2023,07,"3,030"
2023,08,"3,050"
2023,09,"3,070"
2023,10,"3,090"
2023,11,"3,110"
2023,12,"3,130"
2024,01,"3,150"
2024,02,"3,170"
2024,03,"3,190"
2024,04,"3,210"
2024,05,"3,230"
2024,06,"3,250"
2024,07,"3,270"
2024,08,"3,290"
2024,09,"3,310"
2024,10,"3,330"
2024,11,"3,350"
2024,12,"4,183.5"
2025,01,"4,203.8"
2025,02,"4,229.5"
2025,03,"4,227.8"
2025,04,"4,240.0"
2025,05,"4,279.8"
2025,06,"4,307.5"
2025,07,"4,330.0"
2025,08,"4,350.0"
2025,09,"4,420.0"
2025,10,"4,400.2"
2025,11,"4,410.0"
2025,12,"4,430.0"
